Country	Genomes	Exomes	Arrays	Total	Source	Popn	Ratio	geo	
Finland	4700	21500	393999	420199	1MG	5545475	0.075773311	FI	7.577331067
Netherlands	9550	77421	135400	222371	1MG	17618299	0.012621593	NL	1.262159304
Italy	1857	94160	48376	144393	1MG	58870763	0.002452712	IT	0.245271154
United Kingdom	600000	0	600000	1200000	1MG	67736802	0.017715628	UK	1.77156282
Spain	4924	8529	56398	69851	1MG	47519628	0.00146994	ES	0.146993996
Germany	8983	21642	16760	47385	1MG	83294633	0.000568884	DE	0.056888419
Sweden	16657	1202	5000	22859	1MG	10612086	0.002154053	SE	0.215405341
Estonia	6000	5000	200000	211000	1MG	1322766	0.15951423	EE	15.951423
Denmark	10110	0	0	10110	1MG	5910913	0.001710396	DK	0.171039567
Portugal	1	8612	1330	9943	1MG	10247605	0.000970275	PT	0.097027549
Ireland	9025	260	500	9785	1MG	5056935	0.001934967	IE	0.193496654
Czechia	1837	5906	1160	8903	1MG	10495295	0.000848285	CZ	0.084828487
Hungary	91	700	4014	4805	1MG	9604000	0.000500312	HU	0.050031237
Lithuania	220	1350	1600	3170	1MG	2718352	0.001166148	LT	0.116614772
Latvia	52	40	770	862	1MG	1830212	0.000470984	LV	0.047098369
Malta	293	213	0	506	1MG	535065	0.000945679	MT	0.09456795
Greece	0	200	0	200	1MG	10341277	1.934E-05	EL	0.001933997
Norway				107711	Fede	5474360	0.019675542	NO	1.967554198
Sweden				949683	Fede	10612086	0.0894907	SE	8.949069957
Iceland				270000	Fede	375319	0.719388041	IS	71.93880406
Finland				500000	Fede	5545475	0.090163602	FI	9.016360186
Estonia				200000	Fede	1322766	0.151198322	EE	15.11983223
Latvia				31504	Fede	1830212	0.017213306	LV	1.721330644
Lithuania				425	Fede	2718352	0.000156345	LT	0.015634473
Czechia				1055	Fede	10495295	0.000100521	CZ	0.010052123
Poland				1079	Fede	41026068	2.63004E-05	PL	0.002630035
Germany 				200000	Fede	83294633	0.002401115	DE	0.240111509
Denmark				100000	Fede	5910913	0.01691786	DK	1.691786024
United Kingdom				500000	Fede	67736802	0.007381512	UK	0.738151175
France				200000	Fede	64756584	0.003088489	FR	0.308848904
Spain				2000	Fede	47519628	4.20879E-05	ES	0.004208787
Greece				3074	Fede	10341277	0.000297255	EL	0.029725536
Croatia				1999	Fede	4008617	0.000498676	HR	0.049867573
Italy				29165	Fede	58870763	0.000495407	IT	0.04954072
